sample,SRRid,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gender,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_id,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time,condition,create_date,version
sample_12,SRR5364326,8 weeks,RNA-Seq,200,9739727800,PRJNA379959,SAMN06624298,3154027184,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659771,male,GSM2545347,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,24,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545347,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:23:00Z,1
sample_13,SRR5364327,8 weeks,RNA-Seq,200,10202486200,PRJNA379959,SAMN06624299,3312749615,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659772,female,GSM2545348,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,8,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545348,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:40:00Z,1
sample_14,SRR5364328,8 weeks,RNA-Seq,200,9842130600,PRJNA379959,SAMN06624300,3141087833,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659773,male,GSM2545349,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,7,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545349,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:38:00Z,1
sample_15,SRR5364329,8 weeks,RNA-Seq,200,11448987600,PRJNA379959,SAMN06624296,3654913358,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659774,male,GSM2545350,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545350,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T15:02:00Z,1
sample_16,SRR5364330,8 weeks,RNA-Seq,200,10045939400,PRJNA379959,SAMN06624297,3200818132,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659775,female,GSM2545351,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,16,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545351,"Cerebellum\, Day 8",SRP102241,C57BL/6,Day 8,Cerebellum,2017-03-21T14:26:00Z,1
sample_17,SRR5364331,8 weeks,RNA-Seq,200,11648101000,PRJNA379959,SAMN06624286,3726054547,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659776,female,GSM2545352,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,21,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545352,"Cerebellum\, Day 4",SRP102241,C57BL/6,Day 4,Cerebellum,2017-03-21T14:37:00Z,1
sample_18,SRR5364332,8 weeks,RNA-Seq,200,10623321200,PRJNA379959,SAMN06624287,3379972853,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659777,female,GSM2545353,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,4,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545353,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:49:00Z,1
sample_19,SRR5364333,8 weeks,RNA-Seq,200,9568463600,PRJNA379959,SAMN06624294,3065386392,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659778,male,GSM2545354,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,2,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545354,"Cerebellum\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Cerebellum,2017-03-21T14:36:00Z,1
sample_20,SRR5364334,8 weeks,RNA-Seq,200,10829125400,PRJNA379959,SAMN06624292,3472930856,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659779,male,GSM2545355,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,1,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545355,"Spinal cord\, Day 4",SRP102241,C57BL/6,Day 4,Spinal cord,2017-03-21T14:34:00Z,1
sample_21,SRR5364335,8 weeks,RNA-Seq,200,9188565400,PRJNA379959,SAMN06624290,2968273675,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659780,male,GSM2545356,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,2,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545356,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T15:03:00Z,1
sample_22,SRR5364336,8 weeks,RNA-Seq,200,11278233400,PRJNA379959,SAMN06624289,3603397046,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659781,male,GSM2545357,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,3,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545357,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:46:00Z,1
sample_23,SRR5364337,8 weeks,RNA-Seq,200,8539020400,PRJNA379959,SAMN06624283,2752158175,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659782,female,GSM2545358,Non-Infected,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,4,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545358,"Spinal cord\, Day 0 (Non-Infected)",SRP102241,C57BL/6,Day 0,Spinal cord,2017-03-21T14:26:00Z,1
sample_24,SRR5364338,8 weeks,RNA-Seq,200,8992192400,PRJNA379959,SAMN06624282,2884849005,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2659783,female,GSM2545359,Influenza A,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,5,Mus musculus,ILLUMINA,2017-06-14T00:00:00Z,GSM2545359,"Spinal cord\, Day 8",SRP102241,C57BL/6,Day 8,Spinal cord,2017-03-21T14:26:00Z,1
