Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364317_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 4.666182254732862e-06)	(4, 4.432873141996219e-05)	(5, 5.3661095929427914e-05)	(6, 6.76596426936265e-05)	(7, 7.232582494835936e-05)	(8, 7.699200720309222e-05)	(9, 8.165818945782509e-05)	(10, 8.749091727624116e-05)	(12, 0.00011198837411358869)	(14, 0.00015281746884250125)	(16, 0.00016798256117038304)	(18, 0.00018198110793458163)	(20, 0.0002181440204087613)	(22, 0.00025197384175557454)	(24, 0.00030446839212131926)	(26, 0.00034646403241391497)	(28, 0.00041645676623490793)	(30, 0.0005004480468200995)	(32, 0.0006392669688984021)	(34, 0.0008947404473450262)	(36, 0.0012470372075773573)	(38, 0.0017439856177064073)	(40, 0.0024579115026805353)	(42, 0.0034086461370823554)	(44, 0.004649850616841297)	(46, 0.006159360576247378)	(48, 0.008250976771931384)	(50, 0.010882703563600717)	(52, 0.01423185587693523)	(54, 0.018240106433750757)	(56, 0.02315942907580288)	(58, 0.02941211329714491)	(60, 0.03733879040237236)	(62, 0.04693946039148522)	(64, 0.05922435172263316)	(66, 0.07444777132869912)	(68, 0.09298534688118912)	(70, 0.11588930247854536)	(72, 0.14447083533434782)	(74, 0.18058825253154387)	(76, 0.22544309600072718)	(78, 0.2802509062192557)	(80, 0.3466938418899606)	(82, 0.4282015469700705)	(84, 0.5296081862754888)	(86, 0.6546128757886548)	(88, 0.8031689536870212)
SRR5364317_2 - polya	(1, 0.012827335018260638)	(2, 0.019670291294826378)	(3, 0.0244157986478897)	(4, 0.028382053564412632)	(5, 0.031039444358483)	(6, 0.03305523509252759)	(7, 0.03522734293210574)	(8, 0.04057945397828434)	(9, 0.046188205048473235)	(10, 0.0532936340768677)	(12, 0.05789215668890693)	(14, 0.06336908811039962)	(16, 0.06944445740606182)	(18, 0.07575080272333329)	(20, 0.08200232039911164)	(22, 0.08869362575239856)	(24, 0.09470366849649448)	(26, 0.1002074304659519)	(28, 0.10646244777842129)	(30, 0.1130580963954862)	(32, 0.11895031803765012)	(34, 0.12484837240763245)	(36, 0.13087707988074732)	(38, 0.1373140783011513)	(40, 0.14307914647687375)	(42, 0.14896553539121926)	(44, 0.15506190250702773)	(46, 0.16161322239267267)	(48, 0.16731179747126518)	(50, 0.17294621254385512)	(52, 0.17851296797375144)	(54, 0.18458717072384992)	(56, 0.19048755818495963)	(58, 0.1963611150981046)	(60, 0.20249831130864202)	(62, 0.2085865126055047)	(64, 0.21497684920336135)	(66, 0.22118520469328345)	(68, 0.22936618873139383)	(70, 0.23732202947571335)	(72, 0.24322358348238676)	(74, 0.24894432292668925)	(76, 0.25460090236498917)	(78, 0.2602224854363786)	(80, 0.265914061241589)	(82, 0.27239655493897663)	(84, 0.27848009005358454)	(86, 0.2846966113624524)	(88, 0.2906984882876026)
SRR5364318_1 - illumina_universal_adapter	(1, 0.0)	(2, 2.277193314606758e-06)	(3, 1.138596657303379e-05)	(4, 2.9603513089887856e-05)	(5, 3.188070640449461e-05)	(6, 4.782105960674192e-05)	(7, 5.46526395505622e-05)	(8, 5.692983286516895e-05)	(9, 6.603860612359598e-05)	(10, 8.881053926966358e-05)	(12, 0.00011158247241573114)	(14, 0.0001309386155898886)	(16, 0.00015143335542134941)	(18, 0.0001696509019382035)	(20, 0.00019697722171348458)	(22, 0.00022885792811797918)	(24, 0.00027440179441011437)	(26, 0.00034499478716292387)	(28, 0.0003985088300561827)	(30, 0.0004918737559550598)	(32, 0.000621673774887645)	(34, 0.0008311755598314667)	(36, 0.0011773089436516939)	(38, 0.0016828458594943944)	(40, 0.002323875777556197)	(42, 0.003275742583061822)	(44, 0.004517951536179808)	(46, 0.006090353519915775)	(48, 0.008129580133146127)	(50, 0.010795034907893337)	(52, 0.014021817834691114)	(54, 0.018284723719634965)	(56, 0.02325355953210691)	(58, 0.029400842884887854)	(60, 0.03708523172502836)	(62, 0.046936370004017194)	(64, 0.05899410860485998)	(66, 0.07415793888682638)	(68, 0.09231400118418606)	(70, 0.11490945184837162)	(72, 0.14326164721188306)	(74, 0.17937565598823163)	(76, 0.22381849931275444)	(78, 0.27748852994806383)	(80, 0.3424910131135137)	(82, 0.4227017318305649)	(84, 0.5237430763929813)	(86, 0.6468470083839655)	(88, 0.7933172209761294)
SRR5364318_1 - polya	(1, 0.0031220320343258653)	(2, 0.007507906358258482)	(3, 0.009814703185955127)	(4, 0.012754559755112452)	(5, 0.014783538998427074)	(6, 0.016279655006123713)	(7, 0.0180262622784271)	(8, 0.021321361004663076)	(9, 0.026290196817135025)	(10, 0.03181922218500023)	(12, 0.03518946829061824)	(14, 0.039483116285309275)	(16, 0.043708448480562115)	(18, 0.04744646130648911)	(20, 0.051748079477781275)	(22, 0.05538475720120827)	(24, 0.05876752787005661)	(26, 0.061889559904382475)	(28, 0.06535886391918587)	(30, 0.06911623288828703)	(32, 0.07273241587188256)	(34, 0.07607191986775336)	(36, 0.08016517485075901)	(38, 0.08419466842095567)	(40, 0.08818886549477592)	(42, 0.09137238174859617)	(44, 0.094584362918849)	(46, 0.09796144060441084)	(48, 0.10196588504814681)	(50, 0.10568681892421425)	(52, 0.10861187373682664)	(54, 0.11153123556615249)	(56, 0.11445173599213568)	(58, 0.11759084697632108)	(60, 0.12115237732036606)	(62, 0.124601186595338)	(64, 0.12843256434716388)	(66, 0.13200775785109647)	(68, 0.13522657060129312)	(70, 0.13850117458769762)	(72, 0.14191013297966396)	(74, 0.14496954219783814)	(76, 0.1481872163513775)	(78, 0.15150964139738876)	(80, 0.15471251379438317)	(82, 0.1580087511172764)	(84, 0.16114900069811916)	(86, 0.16431885379205174)	(88, 0.1677004858642428)
SRR5364318_2 - illumina_universal_adapter	(1, 2.277193314606758e-06)	(2, 4.554386629213516e-06)	(3, 1.138596657303379e-05)	(4, 3.415789971910137e-05)	(5, 3.415789971910137e-05)	(6, 5.692983286516895e-05)	(7, 6.603860612359598e-05)	(8, 6.831579943820274e-05)	(9, 7.287018606741626e-05)	(10, 8.425615264045006e-05)	(12, 0.00011385966573033792)	(14, 0.0001525719520786528)	(16, 0.00018445265848314742)	(18, 0.00019925441502809135)	(20, 0.00023113512143258598)	(22, 0.00027440179441011437)	(24, 0.00033588601390449683)	(26, 0.00039395444342696915)	(28, 0.00045999304955056516)	(30, 0.0005749913119382065)	(32, 0.0007161772974438255)	(34, 0.0009268176790449506)	(36, 0.001279782642808998)	(38, 0.0017739335920786646)	(40, 0.0024195178967696806)	(42, 0.0033508899624438444)	(44, 0.004601069092162955)	(46, 0.0061598079160112805)	(48, 0.00823205383230343)	(50, 0.010913448960252889)	(52, 0.014134538903764149)	(54, 0.018409969351938338)	(56, 0.02339474551761253)	(58, 0.02946574289435415)	(60, 0.03706359838853959)	(62, 0.04678265945528124)	(64, 0.058711736633848745)	(66, 0.0737229949637365)	(68, 0.09180277128505684)	(70, 0.11448817108516937)	(72, 0.14285972259185498)	(74, 0.17906823489075974)	(76, 0.22353385014842858)	(78, 0.2771742772706481)	(80, 0.342165374469525)	(82, 0.4222861440506491)	(84, 0.5229790780359308)	(86, 0.6456867783901732)	(88, 0.7920249137700901)
SRR5364318_2 - polya	(1, 0.012975447506629309)	(2, 0.01911248348949452)	(3, 0.02374429469140467)	(4, 0.02739008118809009)	(5, 0.03016142545196651)	(6, 0.0322131766284272)	(7, 0.03425809622494407)	(8, 0.03927475309702276)	(9, 0.044384774895000326)	(10, 0.05086338987505655)	(12, 0.055372232637977935)	(14, 0.06069289481755662)	(16, 0.0664473623235679)	(18, 0.07256390356660165)	(20, 0.07845727986480394)	(22, 0.08439050704601185)	(24, 0.09010740086233211)	(26, 0.095560140254158)	(28, 0.10140000250946704)	(30, 0.10756778060207944)	(32, 0.11291918489140532)	(34, 0.11835484533337165)	(36, 0.12375407068230428)	(38, 0.1297294259398324)	(40, 0.1351161267255347)	(42, 0.14076698193573134)	(44, 0.1464736283821359)	(46, 0.1523749748569393)	(48, 0.15753509490783824)	(50, 0.16283753954090008)	(52, 0.168313050865872)	(54, 0.17413127978469228)	(56, 0.17964436479935525)	(58, 0.1848170094134845)	(60, 0.19038816285766993)	(62, 0.19576006188682726)	(64, 0.20131185918783856)	(66, 0.20674410383983297)	(68, 0.21231070289738918)	(70, 0.2179718054775016)	(72, 0.2234382080292151)	(74, 0.2288545123280073)	(76, 0.23403057273210845)	(78, 0.23925559279247366)	(80, 0.2444646724996366)	(82, 0.2505527488262378)	(84, 0.2563038005422772)	(86, 0.2619352996092996)	(88, 0.26731858460503005)
SRR5364334_1 - illumina_universal_adapter	(1, 0.0)	(2, 1.8468712163957395e-06)	(3, 1.1081227298374437e-05)	(4, 5.171239405908071e-05)	(5, 6.648736379024663e-05)	(6, 7.94154623050168e-05)	(7, 9.234356081978698e-05)	(8, 9.603730325257846e-05)	(9, 0.00010157791690176567)	(10, 0.000134821598796889)	(12, 0.0001588309246100336)	(14, 0.00018561055724777183)	(16, 0.00021608393231830152)	(18, 0.000241016693739644)	(20, 0.00026410258394459076)	(22, 0.00030104000827250554)	(24, 0.0003481352242905969)	(26, 0.00041923976612183293)	(28, 0.0004958849216022561)	(30, 0.0006122378082351876)	(32, 0.0008384795322436657)	(34, 0.0011478304609899522)	(36, 0.0015698405339363787)	(38, 0.0021414471754108598)	(40, 0.002980850143262724)	(42, 0.0041065181496559265)	(44, 0.005453810702016619)	(46, 0.007252663266786069)	(48, 0.009503075843964277)	(50, 0.012362032486944882)	(52, 0.015972665714998554)	(54, 0.020405156634348328)	(56, 0.02578047530966813)	(58, 0.032170649718397386)	(60, 0.040148209937618785)	(62, 0.05019241904798701)	(64, 0.06306234111944073)	(66, 0.07851972976506487)	(68, 0.09698290131537307)	(70, 0.11954797383729622)	(72, 0.14784204087247896)	(74, 0.18398900431977638)	(76, 0.22823080430853632)	(78, 0.2809266572903477)	(80, 0.3436473272347553)	(82, 0.4217127266805868)	(84, 0.5182006665099658)	(86, 0.6356395134181381)	(88, 0.7731501567060992)
SRR5364334_1 - polya	(1, 0.004002169925929567)	(2, 0.009121696937778558)	(3, 0.011614973079912806)	(4, 0.014610598192906697)	(5, 0.01686747481934229)	(6, 0.018426234125980295)	(7, 0.02052612669902225)	(8, 0.023922522865974016)	(9, 0.02993778241777494)	(10, 0.03556427557852456)	(12, 0.03906224966237809)	(14, 0.0441319111513844)	(16, 0.04862904256330802)	(18, 0.05250931898895547)	(20, 0.05745524010646326)	(22, 0.061076954561815305)	(24, 0.06423510434185202)	(26, 0.06711345313260478)	(28, 0.0702235842610152)	(30, 0.07361628668553419)	(32, 0.07692126272727436)	(34, 0.07981715679458287)	(36, 0.08348134928791202)	(38, 0.08688051576168837)	(40, 0.09000634529543816)	(42, 0.09280158488145313)	(44, 0.0956706993161239)	(46, 0.0987503570694638)	(48, 0.10163055273143295)	(50, 0.10430205194594938)	(52, 0.10676393127740491)	(54, 0.10926921208244574)	(56, 0.11195640970230153)	(58, 0.11472209934885416)	(60, 0.11771957133306443)	(62, 0.12053143276002695)	(64, 0.12436184366283172)	(66, 0.1279299988529083)	(68, 0.13081388825731022)	(70, 0.13355372170683333)	(72, 0.136459773565832)	(74, 0.13927071155718634)	(76, 0.1421444431698981)	(78, 0.14509851368052307)	(80, 0.1480876747442596)	(82, 0.15101034844420586)	(84, 0.1535793463062123)	(86, 0.15631086883526163)	(88, 0.15928617836487516)
SRR5364334_2 - illumina_universal_adapter	(1, 1.8468712163957395e-06)	(2, 3.693742432791479e-06)	(3, 1.1081227298374437e-05)	(4, 3.3243681895123314e-05)	(5, 4.247803797710201e-05)	(6, 6.279362135745515e-05)	(7, 7.572171987222532e-05)	(8, 7.756859108862106e-05)	(9, 8.126233352141254e-05)	(10, 9.696073886077633e-05)	(12, 0.00012097006467392094)	(14, 0.00014682626170346128)	(16, 0.00018099337920678246)	(18, 0.0002050027050199271)	(20, 0.00023085890204946745)	(22, 0.00027241350441837154)	(24, 0.00032412589847745225)	(26, 0.00037122111449554366)	(28, 0.0004497131411923626)	(30, 0.0005734535126908772)	(32, 0.0007978483654829595)	(34, 0.0011025821161882565)	(36, 0.001523668753526485)	(38, 0.0020860410389189877)	(40, 0.0029245205711626535)	(42, 0.004043724528298472)	(44, 0.00540117487234934)	(46, 0.007172324368872855)	(48, 0.00944582283625601)	(50, 0.012339870032348134)	(52, 0.01596066105209198)	(54, 0.020425472217728682)	(56, 0.02578416905210092)	(58, 0.03210231548339075)	(60, 0.03996167594476281)	(62, 0.04989599621775549)	(64, 0.06264587166014349)	(66, 0.0779471996879822)	(68, 0.09624877000685578)	(70, 0.11880830191512973)	(72, 0.14713007201855838)	(74, 0.1831957731323344)	(76, 0.22740525287480742)	(78, 0.28003923567086964)	(80, 0.3426324715013458)	(82, 0.4205205713104033)	(84, 0.5166391368965032)	(86, 0.6335183818261076)	(88, 0.7707076695224159)
SRR5364334_2 - polya	(1, 0.013740721849984303)	(2, 0.020116121288982394)	(3, 0.025305829407054423)	(4, 0.028886912695645764)	(5, 0.031625822709560644)	(6, 0.033553956259477796)	(7, 0.03534726821059806)	(8, 0.039859174592252855)	(9, 0.04476631141421633)	(10, 0.05105767821286842)	(12, 0.05530825231740322)	(14, 0.06067803037907383)	(16, 0.06611337236892649)	(18, 0.07207968983349292)	(20, 0.07786778422567717)	(22, 0.08344164155675951)	(24, 0.08886590231931381)	(26, 0.09421351792638766)	(28, 0.10025925085325912)	(30, 0.10603718745375319)	(32, 0.1114928450269862)	(34, 0.11681737474385512)	(36, 0.12229519477168488)	(38, 0.12855885850209103)	(40, 0.13379381496496476)	(42, 0.13933627548536837)	(44, 0.14489443441111136)	(46, 0.15023743284014424)	(48, 0.15507346512027648)	(50, 0.16051065398134554)	(52, 0.16583426026260625)	(54, 0.1714976908476838)	(56, 0.17668001148089024)	(58, 0.181639784132521)	(60, 0.18695692636452432)	(62, 0.19222604994490136)	(64, 0.19752749377156534)	(66, 0.20272089563207016)	(68, 0.20891622512746966)	(70, 0.21516326701692826)	(72, 0.22044716556703647)	(74, 0.2255417598174641)	(76, 0.2305689432684933)	(78, 0.2356090548180373)	(80, 0.24074612710644205)	(82, 0.2467096742641839)	(84, 0.25210715539410045)	(86, 0.25769486425930577)	(88, 0.2632253201168028)
SRR5364335_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 6.529855030470807e-06)	(4, 7.835826036564968e-05)	(5, 9.577120711357183e-05)	(6, 0.00010665429883102317)	(7, 0.00011971400889196479)	(8, 0.0001262438639224356)	(9, 0.00013495033729639668)	(10, 0.00017195284913573125)	(12, 0.00019698396008586933)	(14, 0.0002437812544709101)	(16, 0.00028622531216897034)	(18, 0.000307991495603873)	(20, 0.0003471706257866979)	(22, 0.0003972328476869741)	(24, 0.00044076521455677943)	(26, 0.0005267416391246451)	(28, 0.0006290427012686877)	(30, 0.0007585514927063587)	(32, 0.0009925379646315625)	(34, 0.00137562279308585)	(36, 0.0019480734174237907)	(38, 0.0027175080018476006)	(40, 0.003742695241631517)	(42, 0.005330538323207668)	(44, 0.0072089599536397705)	(46, 0.009606505058994302)	(48, 0.012576500788686773)	(50, 0.016421497092462333)	(52, 0.021261207979212944)	(54, 0.02736009257767268)	(56, 0.03450048905349251)	(58, 0.0430916016552486)	(60, 0.05386259752801019)	(62, 0.06743163628132853)	(64, 0.084382051631259)	(66, 0.10499136241659661)	(68, 0.13009647839041338)	(70, 0.16067361287976467)	(72, 0.19894726983169755)	(74, 0.24672077754379373)	(76, 0.3056908100148038)	(78, 0.3764189347773484)	(80, 0.46129943200926665)	(82, 0.5653319940455558)	(84, 0.6951890444181852)	(86, 0.8514560934615538)	(88, 1.037517782699789)
SRR5364335_1 - polya	(1, 0.003680661618842045)	(2, 0.008364744294033104)	(3, 0.01133365171455383)	(4, 0.014411390052249071)	(5, 0.01683396626855374)	(6, 0.018583967416719915)	(7, 0.020751879286836222)	(8, 0.024156110376055005)	(9, 0.030130927728935792)	(10, 0.036221105854021565)	(12, 0.039907209018722335)	(14, 0.04530848743809344)	(16, 0.05006548682779142)	(18, 0.05439260409465008)	(20, 0.059099541262447784)	(22, 0.06274537698779398)	(24, 0.06602336421309032)	(26, 0.06923822950642544)	(28, 0.07268708127168579)	(30, 0.0764678673343284)	(32, 0.079962428084802)	(34, 0.08303581318581027)	(36, 0.08709302977807612)	(38, 0.09069533313655252)	(40, 0.09383619340620898)	(42, 0.09686060459448871)	(44, 0.09991440013040556)	(46, 0.10321741846665204)	(48, 0.10638113322891515)	(50, 0.10929127195416163)	(52, 0.11196307097079594)	(54, 0.11493850824634713)	(56, 0.11802059982072936)	(58, 0.12112989912440521)	(60, 0.12428490741329436)	(62, 0.12738332362525273)	(64, 0.13095841925443552)	(66, 0.1343844165270892)	(68, 0.13740229786033847)	(70, 0.14042017919358774)	(72, 0.14339452815996717)	(74, 0.14637540698137708)	(76, 0.14930404696254324)	(78, 0.15223704018039638)	(80, 0.1552157423834628)	(82, 0.15825974313683397)	(84, 0.1611785883354544)	(86, 0.16414858406514687)	(88, 0.1672306756395291)
SRR5364335_2 - illumina_universal_adapter	(1, 4.353236686980538e-06)	(2, 6.529855030470807e-06)	(3, 1.5236328404431883e-05)	(4, 5.876869527423726e-05)	(5, 7.182840533517888e-05)	(6, 8.053487870913995e-05)	(7, 8.924135208310103e-05)	(8, 9.577120711357183e-05)	(9, 0.00010447768048753291)	(10, 0.00012842048226592586)	(12, 0.0001512749748725737)	(14, 0.00020024888760110474)	(16, 0.00024269294529916498)	(18, 0.00026337081956232254)	(20, 0.00030690318643212795)	(22, 0.00036349526336287494)	(24, 0.00040485101188919)	(26, 0.00045926647047644676)	(28, 0.0005615675326204894)	(30, 0.0007030477249473569)	(32, 0.0009392108152160509)	(34, 0.001319030716155103)	(36, 0.0019001878138670048)	(38, 0.002656562688229873)	(40, 0.0036915447105594964)	(42, 0.00525870991787249)	(44, 0.007163250968426475)	(46, 0.009560796073781005)	(48, 0.012544939822706165)	(50, 0.016396465981512197)	(52, 0.02126882614341516)	(54, 0.027374240596905366)	(56, 0.03453096171030137)	(58, 0.04303936281500483)	(60, 0.05369935115224842)	(62, 0.06712037985820943)	(64, 0.08385966322882132)	(66, 0.10427960821827528)	(68, 0.12919971163289537)	(70, 0.15984649790923838)	(72, 0.19824748703426542)	(74, 0.24607105696826187)	(76, 0.3051401255739008)	(78, 0.3758769568098193)	(80, 0.4608216642828705)	(82, 0.5648259302806943)	(84, 0.6943934904136395)	(86, 0.8501555640013184)	(88, 1.0359876200043154)
SRR5364335_2 - polya	(1, 0.011710206687977646)	(2, 0.017500011481661762)	(3, 0.021748770488154767)	(4, 0.025052877133572994)	(5, 0.02751463248006049)	(6, 0.029342991888592317)	(7, 0.031338950909572894)	(8, 0.035504998419013264)	(9, 0.04029791201137884)	(10, 0.046753762018170976)	(12, 0.05093722247435928)	(14, 0.055883587659940906)	(16, 0.061230450620724755)	(18, 0.06718785502685762)	(20, 0.07290474310603481)	(22, 0.07849756393963306)	(24, 0.08404576409718975)	(26, 0.08923046899138357)	(28, 0.09488205852025605)	(30, 0.10031380959643602)	(32, 0.10552245729240824)	(34, 0.1107419880800979)	(36, 0.11611932369769061)	(38, 0.12193307129315312)	(40, 0.12693167531897853)	(42, 0.13248749364073742)	(44, 0.13789421360596726)	(46, 0.14346200332861536)	(48, 0.14809820040024962)	(50, 0.15313380693791437)	(52, 0.1584360492226567)	(54, 0.1640724024231247)	(56, 0.16918310229363986)	(58, 0.17399342883275337)	(60, 0.179337026866022)	(62, 0.18442704886227398)	(64, 0.18974561578459245)	(66, 0.19490311294949264)	(68, 0.2006341490479025)	(70, 0.20620955693475285)	(72, 0.21124407516324584)	(74, 0.21622200131480807)	(76, 0.2212597844708163)	(78, 0.22616588221704337)	(80, 0.2314115324248549)	(82, 0.23709685953805149)	(84, 0.24275171399443923)	(86, 0.24825202854843914)	(88, 0.25363589402106235)
SRR5364336_1 - illumina_universal_adapter	(1, 0.0)	(2, 1.7733273723524822e-06)	(3, 2.1279928468229784e-05)	(4, 9.753300547938652e-05)	(5, 0.00011349295183055886)	(6, 0.00013831953504349362)	(7, 0.00015427948139466594)	(8, 0.0001666927730011333)	(9, 0.0001773327372352482)	(10, 0.00021634593942700283)	(12, 0.0002633391147943436)	(14, 0.000297918998555217)	(16, 0.00033427220968844287)	(18, 0.00037683206662490244)	(20, 0.00042471190567841945)	(22, 0.0004770250631628177)	(24, 0.0005444115033122121)	(26, 0.0006197779166371925)	(28, 0.0007111042763133453)	(30, 0.0008840036951177123)	(32, 0.0011455694825397034)	(34, 0.0015179682307337246)	(36, 0.002129766174195331)	(38, 0.0029552500660254112)	(40, 0.004028113126298663)	(42, 0.005660460972549123)	(44, 0.0076838275044033046)	(46, 0.01019219907259589)	(48, 0.013281335355233913)	(50, 0.017208368821308488)	(52, 0.022260578505140707)	(54, 0.028570077295970837)	(56, 0.03594268584652628)	(58, 0.04505049523092863)	(60, 0.05602295834735961)	(62, 0.06997549811302894)	(64, 0.08698791425969249)	(66, 0.10782717087589268)	(68, 0.1331662456994373)	(70, 0.16371358301558114)	(72, 0.20152003593044987)	(74, 0.24854690451786537)	(76, 0.30614812422661863)	(78, 0.3758806764896353)	(80, 0.4598317676241742)	(82, 0.5621483236904815)	(84, 0.6881095402760506)	(86, 0.8401617224910418)	(88, 1.0198822450331626)
SRR5364336_1 - polya	(1, 0.004066239664804241)	(2, 0.00908120947381706)	(3, 0.011414908295832927)	(4, 0.014372818352916867)	(5, 0.016741983722379783)	(6, 0.018286551863698795)	(7, 0.020042145962327753)	(8, 0.0232908817084775)	(9, 0.02892828942518604)	(10, 0.034567470469266934)	(12, 0.03803077882747133)	(14, 0.042792162822237745)	(16, 0.04712085493815015)	(18, 0.050739329441435395)	(20, 0.05555745991211709)	(22, 0.058899295345315336)	(24, 0.06195828506262337)	(26, 0.06484260203375469)	(28, 0.06793262498007888)	(30, 0.07138086005561828)	(32, 0.0746491024028639)	(34, 0.07750415947235141)	(36, 0.0808663881703317)	(38, 0.08417187039239674)	(40, 0.08722465346390154)	(42, 0.0898943978229782)	(44, 0.09276452817513069)	(46, 0.09572066490484227)	(48, 0.09863601510498976)	(50, 0.10139531249637022)	(52, 0.10388063080872223)	(54, 0.10648387539133566)	(56, 0.109247606101147)	(58, 0.11204325670366069)	(60, 0.11506234655509079)	(62, 0.11790765032403036)	(64, 0.121115599540616)	(66, 0.12435724197727635)	(68, 0.12732224534384967)	(70, 0.13005582948833103)	(72, 0.1330199461912182)	(74, 0.13586790995121628)	(76, 0.13872917366650703)	(78, 0.1414432512098925)	(80, 0.1441865886549218)	(82, 0.14696982596582903)	(84, 0.14959523714059686)	(86, 0.15238113444256263)	(88, 0.15521934490201278)
SRR5364336_2 - illumina_universal_adapter	(1, 0.0)	(2, 1.7733273723524822e-06)	(3, 1.2413291606467375e-05)	(4, 6.029313065998439e-05)	(5, 7.093309489409929e-05)	(6, 8.86663686176241e-05)	(7, 0.00010285298759644397)	(8, 0.00011349295183055886)	(9, 0.00012235958869232126)	(10, 0.000147186171905256)	(12, 0.0002012726567620067)	(14, 0.00024383251369846628)	(16, 0.0002855057069487496)	(18, 0.00032895222757138543)	(20, 0.0003732854118801975)	(22, 0.0004291452241093007)	(24, 0.0004983049916310474)	(26, 0.0005674647591527942)	(28, 0.0006720910741215907)	(30, 0.0008529704661015438)	(32, 0.001114536253523535)	(34, 0.0014807283559143225)	(36, 0.002099619608865339)	(38, 0.0029180101912060093)	(40, 0.003989986587793084)	(42, 0.005609034478750901)	(44, 0.007649247620642431)	(46, 0.010154072534090314)	(48, 0.013260055426765685)	(50, 0.01720570883024996)	(52, 0.022294271725215406)	(54, 0.028617070471338178)	(56, 0.03599233901295215)	(58, 0.04499108876395482)	(60, 0.055819025699539074)	(62, 0.06957561279056346)	(64, 0.08634774307827323)	(66, 0.10689440067803527)	(68, 0.13197988968733348)	(70, 0.16255294025037645)	(72, 0.20030176002564373)	(74, 0.24723996224444156)	(76, 0.3047675888672423)	(78, 0.3743254683840822)	(80, 0.45801322040382675)	(82, 0.5599733376682912)	(84, 0.6853883694231757)	(86, 0.8368012671204339)	(88, 1.0158576785616087)
SRR5364336_2 - polya	(1, 0.011317375290353541)	(2, 0.017199502184446724)	(3, 0.02155479421094442)	(4, 0.025110315592511145)	(5, 0.02792990611455159)	(6, 0.029832686385085808)	(7, 0.03163084034065122)	(8, 0.036262771437235906)	(9, 0.04138591421596223)	(10, 0.04796584543107611)	(12, 0.05232202412125998)	(14, 0.05757461979816804)	(16, 0.06318276761323276)	(18, 0.06929276707467324)	(20, 0.07533804008702286)	(22, 0.08109160074662047)	(24, 0.08660310221989198)	(26, 0.09211992367528056)	(28, 0.09856951532852654)	(30, 0.10437272915455004)	(32, 0.10981595752398599)	(34, 0.11530795239616162)	(36, 0.12087354035428988)	(38, 0.12694363994985242)	(40, 0.13228756198643665)	(42, 0.13810673575881133)	(44, 0.1435597174287952)	(46, 0.14910313879476905)	(48, 0.15406313545523895)	(50, 0.15944784402138726)	(52, 0.16480683934063645)	(54, 0.17070049286264993)	(56, 0.17615702118737853)	(58, 0.18152310981611713)	(60, 0.18696101820343602)	(62, 0.19233686013272255)	(64, 0.1979671745399417)	(66, 0.20338734965353705)	(68, 0.20910810375674616)	(70, 0.21500353060613198)	(72, 0.22029691281260416)	(74, 0.22558497503695923)	(76, 0.23105657664435283)	(78, 0.23635705216031438)	(80, 0.24174353405383506)	(82, 0.24796170648498905)	(84, 0.2537046271803526)	(86, 0.2593837080903114)	(88, 0.2650556956907808)
SRR5364337_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 7.026567122383265e-06)	(4, 7.963442738701035e-05)	(5, 9.602975067257129e-05)	(6, 0.00012179383012130994)	(7, 0.0001288203972436932)	(8, 0.00013350477532528203)	(9, 0.00013818915340687088)	(10, 0.0001815196506615677)	(12, 0.0002049415410695119)	(14, 0.0002365610931202366)	(16, 0.00026349626708937243)	(18, 0.0003009712917420832)	(20, 0.00033024865475201346)	(22, 0.00036889477392512145)	(24, 0.00042159402734299594)	(26, 0.0005094261163727867)	(28, 0.0005890605437597971)	(30, 0.0006897746725139573)	(32, 0.0008150817861964588)	(34, 0.0010399319341127234)	(36, 0.0013373899422936147)	(38, 0.0018620402874315652)	(40, 0.002537761825700756)	(42, 0.003503914805028455)	(44, 0.004657442907619708)	(46, 0.00627706662932905)	(48, 0.008144962389362602)	(50, 0.0107073171999917)	(52, 0.013939538076288002)	(54, 0.017947023525087258)	(56, 0.022700496183379534)	(58, 0.028345171771694093)	(60, 0.03548416396803549)	(62, 0.04463509655041929)	(64, 0.05616100882016865)	(66, 0.07040151818819873)	(68, 0.08741400828600901)	(70, 0.10831570328605844)	(72, 0.13485621840182044)	(74, 0.16885192123443105)	(76, 0.21014471402363671)	(78, 0.2605310557637267)	(80, 0.32155444903258457)	(82, 0.3973336332584473)	(84, 0.492196973788703)	(86, 0.6095113673694936)	(88, 0.7498623612610178)
